Schroder Ventures Intl.Inv.Tst,SVI,0789235,FTSE 250,302.000000,
Carillion,CLLN,0736554,FTSE 250,156.000000,
Merchants Trust,MRCH,0580007,FTSE 250,324.000000,
Amlin,AML,0031958,FTSE SmallCap,88.000000,
HIT Entertainment,HTE,0935340,FTSE 250,235.000000,
Fitness First,FTF,3003846,FTSE 250,280.000000,
Electra Investment Trust,ELTA,0308544,FTSE 250,494.000000,
Merrill Lynch Euro Inv Tst,MLE,0577441,FTSE 250,109.750000,
Woolworths Group,WLW,3073861,FTSE 250,23.000000,
Croda International,CRDA,0233527,FTSE 250,235.500000,
Chrysalis Group,CHS,0311809,FTSE 250,190.000000,
MITIE Group,MTO,0465740,FTSE 250,106.000000,
Tullow Oil,TLW,0150080,FTSE 250,89.500000,
Fleming Japanese Inv Trust,FLMJ,0174002,FTSE 250,164.750000,
Shanks Group,SKS,0799524,FTSE 250,134.500000,
De Vere Group,DVR,0948296,FTSE 250,280.000000,
Guinness Peat Group,GPG,0271334,Ineligible,50.500000,
Premier Oil,PMO,0699420,FTSE 250,20.000000,
Atkins (WS),ATK,0060800,FTSE 250,309.000000,
Bankers Investment Trust,BNKR,0076700,FTSE 250,241.000000,
Collins Stewart Holdings,CSH,0071006,FTSE 250,287.500000,
Shaftesbury,SHB,0799096,FTSE 250,229.000000,
McCarthy & Stone,MCTY,0550884,FTSE 250,292.000000,
Quintain Estates and Development,QED,0718444,FTSE 250,231.500000,
Friends Ivory & Sime,FIS,0465814,FTSE 250,199.500000,
Wilson Connolly Hldgs,WSNC,0970404,FTSE 250,143.500000,
Fidelity European Values,FEV,0337582,FTSE 250,470.000000,
Temple Bar Inv Tst,TMPL,0882532,FTSE 250,510.000000,
Dimension Data Holdings,DDT,0843540,FTSE 250,22.750000,
PizzaExpress,PIZ,0841953,FTSE 250,407.500000,
Tibbett & Britten Group,TBG,0891107,FTSE 250,600.000000,
Spirax-Sarco Engineering,SPX,0834704,FTSE 250,391.000000,
Murray Income Trust (Ord),MUT,0611112,FTSE 250,412.000000,
SkyePharma,SKP,0812357,FTSE 250,48.000000,
Go-Ahead Group,GOG,0375377,FTSE 250,567.500000,
SIG,SHI,0802541,FTSE 250,242.000000,
Xansa,XAN,0330417,FTSE 250,86.000000,
SMG,SMG,0432540,FTSE 250,91.000000,
Expro International Group,EXR,0311939,FTSE 250,432.500000,
Cordiant Communications,CRI,0158039,FTSE 250,69.000000,
Northgate,NTG,0377544,FTSE 250,465.000000,
PZ Cussons,PZC,0675260,FTSE 250,745.000000,
PZ Cussons A,PZCA,0675282,FTSE 250,535.000000,
Renishaw,RSW,0732358,FTSE 250,387.500000,
Aga Foodservice Group,AGA,0374288,FTSE 250,220.000000,
British Empire Sec & General Tst,BTEM,0133508,FTSE 250,170.000000,
Singer & Friedlander Group,SFL,3088854,FTSE 250,145.500000,
Murray International Trust (Ord),MYI,0611190,FTSE 250,313.000000,
Murray International Trust ( B Ord),MYIB,0611208,Ineligible,337.500000,
Aberforth Smaller Companies Tst,ASL,0006655,FTSE 250,330.000000,
Fleming Continental Euro Inv Tst,FUT,0527004,FTSE 250,460.000000,
Amey,AMY,0256610,FTSE 250,108.500000,
JPMorgan Fleming American IT,JAM,0846505,FTSE 250,445.500000,
Rotork,ROR,0750695,FTSE 250,313.500000,
Ultra Electronics Holdings,ULE,0912332,FTSE 250,413.000000,
Manchester United,MNU,0561240,FTSE 250,104.000000,
Securities Trust of Scotland,STS,0793139,FTSE 250,86.500000,
Foreign & Colonial Eurotrust,FCU,0329501,FTSE 250,351.000000,
Fleming Claverhouse Inv Trust,FCV,0342218,FTSE 250,316.500000,
TR Property Investment Trust,TRY,0906409,FTSE SmallCap,62.250000,
Daejan Hdg,DJAN,0250203,Ineligible,1592.500000,
Dunedin Income Growth Inv Tst,DIG,0340609,FTSE 250,161.000000,
First Technology,FRS,0339135,FTSE 250,344.000000,
T & S Stores,TSS,0869977,FTSE 250,317.500000,
iSOFT Group,IOT,0916561,FTSE 250,216.000000,
Fleming Overseas Inv Trust,FOV,0914327,FTSE 250,353.500000,
Hiscox,HSX,0428828,FTSE 250,130.000000,
Mayflower Corporation,MFW,0800222,FTSE SmallCap,70.500000,
Ultraframe,UTF,0157478,FTSE 250,256.500000,
BTG,BGC,0100159,FTSE 250,237.000000,
Laing (John),LNGO,0500737,FTSE 250,141.000000,
GWR Group,GWG,0397876,FTSE 250,196.000000,
Brit Insurance Holdings,BRE,0099600,FTSE SmallCap,57.000000,
Holidaybreak,HBR,0316495,FTSE SmallCap,517.500000,
Euromoney Institutional Investors,ERM,0688666,FTSE 250,272.500000,
Enodis,ENO,0093152,FTSE 250,60.000000,
Rathbone Brothers,RAT,0214834,FTSE 250,615.000000,
Torex,TOX,0897149,FTSE 250,512.500000,
Grainger Trust,GRI,0380649,FTSE SmallCap,955.000000,
Benchmark Group,BMK,3096181,FTSE SmallCap,242.500000,
Law Debenture Corp,LWDB,0507200,FTSE SmallCap,1001.500000,
Candover Investments,CDI,0171315,Ineligible,1050.000000,
RPS Group,RPS,0759476,FTSE SmallCap,122.000000,
Helical Bar,HLCL,0419305,FTSE SmallCap,772.500000,
Budgens,BGE,0080819,Ineligible,134.500000,
Wyevale Garden Centres,WGC,0984568,FTSE SmallCap,412.500000,
Cambridge Antibody Tech Group,CAT,0166225,FTSE 250,630.000000,
Findel,FDL,0337407,FTSE SmallCap,272.500000,
Nestor Healthcare Group,NSR,0631303,FTSE 250,260.000000,
Perpetual Income&Growth Inv Tst,PLI,0679842,FTSE SmallCap,127.000000,
Wincanton PLC,WIN,3032936,FTSE SmallCap,195.000000,
Mowlem (J),MWLM,0608307,FTSE 250,164.000000,
Crest Nicholson,CRST,0232825,FTSE SmallCap,199.500000,
Aberdeen Asset Management,ADN,0003128,FTSE 250,125.000000,
Paragon Group of Companies,PAG,0614036,FTSE 250,184.500000,
Wembley,WMY,0948252,FTSE SmallCap,610.000000,
Acambis,ACM,0694179,FTSE 250,218.500000,
TT Electronics,TTG,0871176,FTSE SmallCap,136.500000,
Kingston Comms,KCOM,0744825,FTSE 250,56.000000,
Communisis,CMS,0668323,FTSE SmallCap,145.000000,
Scottish Radio Hldgs,SRH,0791478,FTSE 250,627.500000,
Abbot Group,ABG,0910273,FTSE SmallCap,117.500000,
Salvesen (Christian),SVC,0771276,FTSE SmallCap,77.500000,
Victrex,VCT,0929224,FTSE SmallCap,256.500000,
Lastminute.Com,LMC,0158307,FTSE SmallCap,98.000000,
Marlborough Stirling PLC,MAS,3021268,FTSE 250,89.500000,
Body Shop International,BOS,0108313,FTSE SmallCap,100.000000,
Cranswick,CWK,0231888,FTSE SmallCap,479.000000,
Headlam Group,HEAD,0417008,FTSE SmallCap,239.000000,
Scottish American Investment,SCAM,0787369,FTSE 250,143.250000,
Morgan Crucible Co,MGCR,0602729,FTSE 250,86.000000,
Monsoon,MSN,0244176,FTSE SmallCap,112.000000,
CLS Holdings,CLI,0159247,FTSE SmallCap,204.500000,
Aquarius Platinum,AQP,0845580,,250.000000,
Freeport,FPR,0352080,FTSE SmallCap,361.500000,
Workspace Group,WKP,0529635,FTSE SmallCap,1172.500000,
Homestyle Group,HME,0750134,FTSE SmallCap,285.000000,
Saville Gordon Estates,SAVL,0777520,Ineligible,120.000000,
Morse,MOR,0560485,FTSE SmallCap,148.000000,
Kier Group,KIE,0491563,FTSE SmallCap,552.500000,
Cookson Group ,CKSN,0508407,FTSE 250,26.000000,
Laird Group,LARD,0500522,FTSE SmallCap,132.000000,
Business Post Group,BPG,0157616,FTSE SmallCap,355.000000,
Ulster Television,UTV,0911395,FTSE SmallCap,356.000000,
Cox Insurance Holdings,COX,0230539,FTSE SmallCap,60.500000,
Martin Currie Portfolio Inv Tst,MNP,0537241,FTSE SmallCap,59.500000,
Henderson Electric&General Investment Co,HEG,0309019,FTSE 250,208.000000,
Domestic & General Group,DGG,0274719,FTSE SmallCap,520.000000,
Informa Group,INF,0262565,FTSE 250,145.000000,
Menzies (John),MNZS,0579005,FTSE SmallCap,326.000000,
F&C Pacific Investment Trust,FCP,0365602,FTSE SmallCap,87.500000,
Autologic Holdings,ALG,0219237,FTSE SmallCap,425.000000,
AEA Technology,AAT,3179394,FTSE SmallCap,252.500000,
Intercare Group,INT,0680424,FTSE SmallCap,230.500000,
Vardy (Reg),VDY,0927240,FTSE SmallCap,316.500000,
Graphite Enterprise Trust,GPE,0329200,FTSE SmallCap,197.500000,
Johnson Service Group,JSG,0476281,FTSE SmallCap,320.000000,
Ricardo,RCDO,0737007,FTSE SmallCap,370.000000,
Huntleigh Technology,HTL,0448075,FTSE SmallCap,360.500000,
Psion,PON,0709545,FTSE SmallCap,43.000000,
TR European Growth Trust,TRG,0906692,FTSE SmallCap,108.750000,
Capital & Regional,CAL,0174154,FTSE SmallCap,281.500000,
Future Network,FNET,0723998,FTSE SmallCap,54.000000,
Jarvis Hotels,JVH,0476184,FTSE SmallCap,100.500000,
St.Modwen Properties,SMP,0729101,Ineligible,142.000000,
Mentmore Abbey,MEN,0576590,FTSE SmallCap,94.000000,
Alvis,ALV,0917360,FTSE SmallCap,155.500000,
Polar Capital Technology Trust,PCT,0422002,FTSE SmallCap,113.500000,
Clydeport,CLY,0205173,FTSE SmallCap,401.000000,
Merrill Lynch World Mining Tst,MLW,0577485,FTSE SmallCap,102.000000,
Anglo & Overseas Trust,AOT,0350244,FTSE SmallCap,159.500000,
Uniq PLC,UNIQ,3032925,FTSE SmallCap,145.500000,
French Connection Group,FCCN,0352831,FTSE SmallCap,877.500000,
Autonomy Corporation,AU.,0118271,FTSE 250,128.000000,
Reliance Security Group,RSG,0732132,FTSE SmallCap,705.000000,
Ashtenne Holdings,AHH,0042035,FTSE SmallCap,229.500000,
Warner Estate Hldgs,WNER,0940656,FTSE SmallCap,318.000000,
Alba,ABA,0013075,FTSE SmallCap,325.000000,
The Vitec Group,VTC,0929666,FTSE SmallCap,392.500000,
Holmes Place,HOL,0165277,FTSE SmallCap,158.000000,
F&C Smaller Companies,FCS,0017505,FTSE SmallCap,171.500000,
Ashtead Group,AHT,0053673,FTSE SmallCap,49.000000,
Pendragon,PDG,0679529,FTSE SmallCap,271.000000,
TDG,TDG,0257033,FTSE SmallCap,199.500000,
Throgmorton Trust,THRG,0891055,FTSE SmallCap,66.500000,
London Scottish Bank,LSB,0531607,FTSE SmallCap,118.500000,
UK Balanced Property Trust,UBR,3130669,Ineligible,103.750000,
House of Fraser,HOF,0439916,FTSE SmallCap,66.750000,
Brunner Investment Trust,BUT,0149000,FTSE SmallCap,266.000000,
Babcock International Group,BAB,0969703,FTSE SmallCap,103.000000,
Aberforth Split Level Trust Cap.,ABSC,0007960,Ineligible,447.000000,
Aberforth Split Level Trust Inc,ABSI,0007959,Ineligible,44.500000,
Project Telecom,PJT,0966890,FTSE SmallCap,68.500000,
Mucklow (A.& J.)Group,MKLW,0609140,FTSE SmallCap,244.000000,
Dana Petroleum,DNX,0186160,FTSE SmallCap,13.500000,
Sygen International,SNI,0276102,FTSE SmallCap,50.500000,
Heywood Williams Group,HYWD,0423812,FTSE SmallCap,188.000000,
Goshawk Insurance Holdings,GOS,0377919,Ineligible,83.500000,
Delta,DLTA,0261506,FTSE SmallCap,97.500000,
Gartmore European Inv Trust,GEO,0526885,FTSE SmallCap,263.000000,
Oxford Glycosciences,OGS,0264732,FTSE SmallCap,265.000000,
Finsbury Worldwide Pharmaceutical,FWP,0338530,FTSE SmallCap,359.500000,
NHP,NHP,0652348,FTSE Fledgling,72.750000,
Courts,CRTO,0228341,FTSE SmallCap,236.500000,
Bulmer (HP) Hdg,BULM,0153432,FTSE SmallCap,272.500000,
Esporta,ESP,0922018,Ineligible,87.250000,
Herald Investment Trust,HRI,0422864,FTSE SmallCap,171.500000,
Soco International,SIA,0039446,FTSE SmallCap,202.500000,
